Time,Country,CumSum,SE,Percent
2100,India,783.7009907,30.65248,15.9852251
2100,Nigeria,315.5319956,39.8116,6.43593671
2100,Indonesia,221.0466499,21.19539,4.508709952
2100,Pakistan,177.0034131,3.34626,3.61035578
2100,Brazil,144.7937254,31.73061,2.953371656
2100,Niger,126.7529124,29.08753,2.585391444
2100,United States,112.436786,28.98105,2.293384026
2100,Philippines,102.4860151,2.852199,2.090417187
2100,Mali,100.0100218,17.38163,2.039914113
2100,Burkina Faso,93.55356038,26.90564,1.908221043
2100,World,2725.342,56.12753,55.58907
